140,125,9,0,0,0.277778,0.062963,0.666667,0.311111,6.18518,7.33333,7.66667,3.55556,3.44444,4.44444,-7.88889,7.77778,0.545635,-1.12182,0
188,133,9,0,0,0.333333,0.266667,0.5,0.0777777,6.66667,8.33333,7.77778,3.88889,5,3.33333,-8.33333,8.44444,0.53858,-0.924817,0
105,139,9,0,0,0.277778,0.107407,0.833333,0.522222,6.11111,7.55556,7.22222,3.55556,4.33333,3.33333,-7.66667,7.55556,0.532628,-0.965946,0
34,137,9,0,0,0.5,0.166667,1.11111,0.474074,5.85185,7.77778,6.44444,3.33333,5.77778,1.77778,-7.55556,7.77778,0.573633,-0.744272,0
39,111,9,0,0,0.722222,0.374074,0.888889,0.42963,6.03704,7,7.66667,3.44444,2.88889,4.88889,-7.77778,7.88889,0.562919,-1.17577,0
16,128,9,0,0,0.5,0.0777778,0.666667,0.311111,5.55556,6.88889,6.66667,3.11111,4,3.33333,-7.33333,7.11111,0.561508,-0.985811,0
26,67,9,0.111111,0,1,0.88889,2.44444,3.18518,20,19.5556,25.8889,14.5556,-1.33333,17.6667,-16.3333,25.8889,0.436939,-1.6232,0
14,110,9,0,0,1.72222,5.35185,2.66667,1.02222,17.9259,18.8889,21.4444,13.4444,2.88889,10.5556,-13.4444,21.4444,0.368848,-1.3451,0
11,108,9,0,0,1.33333,0.8,1.38889,0.951852,17.6667,19,21.1111,12.8889,4,10.3333,-14.3333,21.1111,0.388756,-1.30213,0
85,101,9,0,0,1.33333,1.28889,1.27778,1.21852,21.2963,21.2222,26.7778,15.8889,-0.222222,16.4444,-16.2222,26.7778,0.404792,-1.5586,0
18,145,9,0,0,0.388889,0.0185185,0.611111,0.374074,3.92593,5.55556,4,2.22222,4.88889,0.222222,-5.11111,5.55556,0.600529,-0.57094,0
23,55,9,0,0,2.22222,3.67407,1.77778,0.785185,23.4444,21.6667,31.1111,17.5556,-5.33333,23,-17.6667,31.1111,0.43507,-1.77116,0
